asset_id,b,kappa,half_life_days,mu,sigma_eps,n_obs
A000151,0.067514,2.695413,0.257158,14.691033,56.925971,484
A000152,0.122488,2.099744,0.33011,9.956005,58.82548,484
A000153,0.012129,4.412186,0.157098,0.017365,2.717398,484
A000154,0.104078,2.262615,0.306348,22.282171,120.126989,483
A000155,0.048516,3.02586,0.229074,0.035674,0.438755,484
A000156,0.281816,1.266502,0.547292,1.026981,4.047678,484
A000157,0.368813,0.997464,0.694909,4.9083,21.77773,484
A000158,0.141873,1.952821,0.354947,0.382957,1.854597,484
A000159,0.008652,4.749942,0.145927,3.846915,12.266633,484
A000160,1e-06,13.815511,0.050172,0.154548,4.988036,484
A000161,1e-06,13.815511,0.050172,2.487336,18.135156,484
A000162,0.12215,2.102508,0.329676,-0.000598,1.89424,484
A000163,0.016065,4.131084,0.167788,-0.005527,0.027299,484
A000164,0.138677,1.975606,0.350853,0.086692,4.138865,484
A000165,0.070062,2.658374,0.260741,1.063195,7.994028,484
A000166,1e-06,13.815511,0.050172,2.308069,21.806015,475
A000167,0.11701,2.145495,0.323071,2.627942,27.216508,484
A000168,0.030411,3.492943,0.198442,-0.555594,21.056401,484
A000169,0.198172,1.61862,0.428233,2.987817,13.29934,484
A000170,1e-06,13.815511,0.050172,-0.012578,0.129843,360
A000171,0.14108,1.958428,0.35393,5.122228,22.822652,484
A000172,0.015272,4.181752,0.165755,0.034569,1.985864,375
A000173,0.127121,2.062618,0.336052,2.974312,17.632345,484
A000174,1e-06,13.815511,0.050172,0.013352,0.397478,125
A000175,0.357364,1.029002,0.673611,10.304112,77.143736,484
A000177,0.044015,3.123214,0.221934,0.018033,1.237815,484
A000178,1e-06,13.815511,0.050172,2.285121,7.094158,484
A000179,0.071209,2.642132,0.262344,-0.640658,59.615939,482
A000180,0.169402,1.775481,0.3904,0.809209,5.370022,484
A000181,0.065193,2.730406,0.253862,63.940721,427.735502,484
A000182,0.294087,1.22388,0.566352,2.989007,25.754573,484
A000183,0.164278,1.806194,0.383761,0.458181,1.358458,484
A000184,0.147647,1.912929,0.362349,4.429735,18.510892,484
A000185,0.07603,2.576628,0.269013,0.019571,0.583771,450
A000186,1e-06,13.815511,0.050172,-0.090771,1.355532,484
A000188,0.139258,1.971428,0.351596,3.208681,16.386709,484
A000189,0.041766,3.175671,0.218268,16.687445,89.583243,484
A000190,0.144756,1.932707,0.358641,3.610126,33.23566,484
A000191,0.039877,3.221955,0.215132,0.742653,2.79494,484
A000192,0.094759,2.356418,0.294153,-0.008494,0.052025,484
A000193,0.162215,1.81883,0.381095,1.92876,8.130537,484
A000194,0.05014,2.992933,0.231595,-0.048885,1.185961,476
A000195,0.155159,1.863305,0.371999,0.999922,13.721918,484
A000196,0.284833,1.255853,0.551934,6.356302,21.503055,484
A000197,0.104644,2.25719,0.307084,0.212912,1.039872,483
A000198,1e-06,13.815511,0.050172,1.100882,9.785747,474
A000199,0.26757,1.318375,0.525759,0.212671,5.785724,484
A000200,1e-06,13.815511,0.050172,85.883418,462.954298,484
A000202,1e-06,13.815511,0.050172,-0.005636,0.076483,484
A000203,0.181396,1.707074,0.406044,1.060935,3.141294,484
A000204,0.027513,3.593092,0.192911,0.017087,0.370056,484
A000205,0.064374,2.743053,0.252692,0.279244,0.875083,484
A000206,0.034046,3.380045,0.20507,0.037249,0.526291,484
A000207,0.047244,3.052431,0.22708,0.001263,0.176945,484
A000208,0.018667,3.980974,0.174115,-0.344259,13.080523,484
A000209,0.193914,1.640342,0.422563,46.478151,128.679465,484
A000210,0.078645,2.542808,0.272591,-0.000709,0.04042,484
A000211,0.25867,1.352202,0.512606,12.201429,62.560296,484
A000212,1e-06,13.815511,0.050172,0.000339,1.161267,483
A000213,1e-06,13.815511,0.050172,0.002358,0.820891,484
A000214,1e-06,13.815511,0.050172,42.763115,282.155893,484
A000215,0.043368,3.138037,0.220886,0.191749,2.801464,483
A000216,0.003767,5.581384,0.124189,0.106911,3.01168,484
A000217,0.293448,1.226056,0.565347,0.150064,0.867105,484
A000218,0.31673,1.149705,0.602892,15.132735,102.665924,484
A000219,0.245009,1.406459,0.492831,0.364225,2.566846,484
A000220,0.028652,3.552536,0.195113,0.871393,5.08854,484
A000221,0.007464,4.89771,0.141525,0.076797,0.76819,484
A000222,0.126675,2.066129,0.335481,5.371201,49.428956,483
A000223,0.038492,3.2573,0.212798,-0.003248,1.175749,484
A000224,0.007369,4.910506,0.141156,0.062122,0.506162,484
A000225,0.058803,2.833566,0.24462,0.007151,3.174853,481
A000226,0.180269,1.713303,0.404568,0.408065,4.562317,484
A000227,0.212173,1.550353,0.44709,0.630368,3.216204,451
A000228,0.000986,6.921826,0.100139,-0.029422,0.368506,484
A000229,0.159577,1.83523,0.37769,1.783589,7.964269,484
A000230,0.020656,3.879736,0.178658,0.318903,2.317341,484
A000231,0.137059,1.987343,0.348781,11.203443,60.066657,484
A000232,0.130523,2.036204,0.340411,3.148286,20.374364,484
A000233,1e-06,13.815511,0.050172,0.026356,0.308032,140
A000234,0.2092,1.564462,0.443058,9.030241,103.305163,484
A000235,0.172703,1.756182,0.39469,2.926077,10.13954,484
A000236,1e-06,13.815511,0.050172,-0.019783,0.732271,484
A000237,0.255628,1.364031,0.508161,4.850145,28.097698,484
A000238,0.19092,1.655903,0.418592,5.158446,101.162426,484
A000239,0.215102,1.536644,0.451079,1.22206,8.487132,484
A000240,0.162548,1.816782,0.381525,30.121257,84.95136,231
A000241,0.144742,1.932801,0.358623,43.303777,112.106352,484
A000242,0.023241,3.761833,0.184258,0.009538,0.117596,484
A000243,1e-06,13.815511,0.050172,0.0475,0.942114,484
A000244,0.074468,2.597388,0.266863,10.897477,43.419259,484
A000245,0.033684,3.39073,0.204424,67.874786,480.090976,464
A000246,0.091129,2.395484,0.289356,0.093135,0.913531,484
A000247,0.081517,2.506943,0.276491,0.674655,5.570419,484
A000248,0.057046,2.863906,0.242029,286.65267,1487.215927,483
A000249,0.283271,1.261352,0.549527,13.991757,98.551352,484
A000251,1e-06,13.815511,0.050172,0.848767,5.202862,481
A000252,0.293325,1.226473,0.565155,0.019937,0.807155,484
A000253,0.109497,2.211858,0.313378,2.10824,35.068268,484
A000254,0.241294,1.421741,0.487534,4.945745,14.955624,484
A000255,0.225622,1.488893,0.465545,0.577392,2.216378,484
A000256,0.077134,2.562209,0.270527,0.040391,0.535523,484
A000257,0.152208,1.882505,0.368205,3.596473,21.103056,484
A000258,0.060695,2.801888,0.247386,0.102445,2.480118,481
A000259,1e-06,13.815511,0.050172,0.046565,0.875265,484
A000260,1e-06,13.815511,0.050172,0.021101,0.218147,484
A000261,0.126188,2.069981,0.334857,0.014087,2.436378,484
A000262,0.229685,1.471047,0.471193,7.413062,39.645858,477
A000263,0.357853,1.027633,0.674509,0.37445,1.929966,484
A000264,0.207976,1.570332,0.441402,0.123294,0.510257,366
A000265,0.194184,1.638949,0.422922,3.37581,12.143958,484
A000266,1e-06,13.815511,0.050172,0.010454,0.182816,101
A000267,0.334099,1.096317,0.632251,0.082826,8.527467,484
A000268,0.276732,1.284706,0.539538,1.855164,6.856822,484
A000269,0.083899,2.478141,0.279704,0.529378,4.275608,482
A000270,0.121185,2.110438,0.328438,0.4122,1.918063,484
A000271,0.097948,2.323321,0.298343,4.62709,20.613302,484
A000272,0.045263,3.095259,0.223938,0.197782,5.329038,484
A000273,0.152597,1.879958,0.368704,0.142768,1.061115,484
A000274,0.128692,2.050334,0.338066,1.15949,6.247937,484
A000275,0.09756,2.327291,0.297834,0.016775,0.576631,484
A000276,0.179804,1.715885,0.403959,25.069293,199.235581,484
A000277,0.303697,1.191726,0.581633,0.366571,3.082849,484
A000278,0.230281,1.468456,0.472025,0.842196,3.158551,484
A000279,0.031292,3.464382,0.200078,0.105334,0.701658,160
A000280,0.142532,1.948192,0.35579,0.045549,0.997122,484
A000281,0.055837,2.885315,0.240233,15.230017,61.83122,484
A000282,0.169393,1.775537,0.390387,3.642573,23.383209,484
A000283,0.156026,1.857735,0.373114,0.487825,5.122937,484
A000284,0.031421,3.460291,0.200315,0.287605,4.104117,484
A000285,0.081852,2.502842,0.276944,0.436016,2.583994,484
A000286,0.320575,1.137639,0.609286,3.427825,22.962307,474
A000287,0.198076,1.619103,0.428106,24.181345,198.713742,484
A000288,0.100963,2.293001,0.302288,1.755475,5.998186,483
A000289,0.251429,1.380594,0.502064,0.469202,2.927776,484
A000290,0.145598,1.926904,0.359721,0.573019,2.832935,484
A000292,0.00358,5.63241,0.123064,-0.247403,1.430031,464
A000293,0.193758,1.641145,0.422356,2.007524,21.157157,482
A000294,0.221082,1.509223,0.459274,3.332396,16.362617,484
A000295,0.167855,1.784657,0.388392,0.184013,0.925721,484
A000296,0.242515,1.416692,0.489272,1.074881,14.64634,484
A000297,0.183617,1.694906,0.408959,31.644805,154.26495,484
A000298,0.167351,1.787663,0.387739,0.004311,0.087403,484
A000299,0.311283,1.167051,0.59393,1.387983,6.872203,484
A000300,0.066013,2.717905,0.25503,0.890385,2.517244,484
A000301,0.030157,3.501325,0.197967,0.156735,2.757736,484
A000302,0.024848,3.694977,0.187592,0.018226,0.187668,484
A000303,0.001056,6.853419,0.101139,0.039221,0.582041,209
A000304,1e-06,13.815511,0.050172,-0.204604,2.270241,484
A000305,0.060174,2.810515,0.246626,36.539916,226.481266,482
A000306,0.140068,1.965625,0.352635,0.134113,0.794964,390
A000307,0.11703,2.145326,0.323096,0.207514,2.461648,484
A000308,0.121923,2.104364,0.329386,0.510153,1.59497,484
A000309,0.055989,2.8826,0.240459,-0.000696,0.120389,484
A000310,0.051814,2.960088,0.234164,0.549328,3.515109,482
A000311,0.323505,1.128542,0.614197,3.524423,22.560525,484
A000312,0.152608,1.879881,0.368719,0.292849,2.243391,479
A000314,0.125082,2.078782,0.333439,0.17112,0.447083,484
A000315,0.191976,1.650384,0.419991,5.888656,21.848486,484
A000316,0.20159,1.601521,0.432806,-0.018907,0.172059,405
A000317,0.190631,1.657414,0.41821,20.665355,92.324002,481
A000318,0.154326,1.868687,0.370927,0.957007,11.28918,484
A000319,0.112874,2.181486,0.317741,0.753858,2.330202,484
A000320,0.211798,1.55212,0.446581,22.277826,68.621849,484
A000321,1e-06,13.815511,0.050172,-0.052743,6.041835,481
A000322,0.071905,2.632415,0.263312,0.045192,0.515148,484
A000323,0.208786,1.566447,0.442497,0.446468,1.936316,484
A000324,0.211279,1.554576,0.445875,2.981419,16.289891,484
A000325,0.172263,1.758733,0.394117,0.185639,0.622431,484
A000326,0.082189,2.498728,0.2774,-0.075443,1.079304,256
A000327,0.212436,1.549115,0.447447,0.125057,4.749323,484
A000328,0.172525,1.75721,0.394459,1.189015,3.928409,484
A000330,0.14686,1.918273,0.361339,3.104589,20.648185,484
A000331,0.082143,2.499291,0.277338,0.045707,0.497552,483
A000332,0.224671,1.49312,0.464227,2.693818,17.644807,484
A000333,0.009712,4.634414,0.149565,0.013205,2.756968,479
A000334,0.066455,2.711237,0.255657,-0.062887,1.261008,484
A000335,0.043636,3.131877,0.22132,0.294306,1.925982,484
A000336,1e-06,13.815511,0.050172,12.45987,94.860269,484
A000337,0.275764,1.28821,0.53807,4.700748,74.930972,484
A000338,0.151183,1.889266,0.366887,0.012174,0.175503,484
A000339,0.111575,2.193055,0.316065,2.470223,22.186932,484
A000340,0.188234,1.670068,0.415041,24.582942,99.325301,484
A000341,0.129942,2.040668,0.339667,0.143561,2.659425,484
A000342,0.136694,1.99001,0.348313,1.217451,4.532513,484
A000343,0.110115,2.206227,0.314178,0.264785,2.51037,484
A000344,0.083841,2.478828,0.279627,0.642622,2.508265,484
A000345,1e-06,13.815511,0.050172,5.610419,20.163576,123
A000346,0.041941,3.171486,0.218556,0.00877,0.173378,484
A000347,0.166766,1.791162,0.386982,0.040934,0.172133,484
A000348,0.05499,2.900608,0.238966,0.019389,0.309717,484
A000349,0.135327,2.00006,0.346563,4.946034,18.234853,484
A000350,0.067879,2.690031,0.257673,0.00128,0.599596,484
A000351,0.075435,2.584489,0.268195,-0.004805,0.429781,484
A000352,1e-06,13.815511,0.050172,0.016764,0.973284,484
A000353,0.315007,1.15516,0.600045,0.341053,2.852537,483
A000354,0.061354,2.791097,0.248342,-0.090524,8.51326,484
A000355,0.027641,3.588447,0.193161,0.279115,2.085276,484
A000356,0.328675,1.112685,0.62295,2.092298,7.099607,484
A000357,0.151205,1.88912,0.366915,0.784242,5.397293,484
A000358,0.022471,3.795545,0.182621,0.111781,0.842943,479
A000359,0.171936,1.760631,0.393692,2.426361,30.267852,484
A000360,0.229573,1.471535,0.471037,5.115437,13.937368,484
A000361,0.238164,1.434794,0.483099,18.723566,84.436461,484
A000362,0.029765,3.514426,0.197229,-0.053802,1.122965,484
A000363,0.17892,1.720815,0.402802,0.025809,0.226607,484
A000364,0.04413,3.120626,0.222118,0.642381,10.246867,484
A000365,0.344557,1.065495,0.65054,5.350922,18.977351,484
A000366,0.068599,2.679482,0.258687,-23.864039,622.96787,484
A000367,0.118565,2.13229,0.325072,63.840529,219.084586,484
A000368,0.002073,6.178751,0.112182,0.00164,0.328336,484
A000369,1e-06,13.815511,0.050172,0.039248,0.35554,484
A000370,0.208453,1.568041,0.442047,21.758999,133.036918,484
A000371,0.293883,1.224574,0.566031,0.540569,3.429824,484
A000372,1e-06,13.815511,0.050172,7.747534,32.877896,484
A000373,0.175232,1.741646,0.397984,0.492528,5.280725,484
A000374,0.030893,3.477225,0.199339,0.405942,2.721999,462
A000376,0.050284,2.990075,0.231816,0.274661,1.251104,484
A000377,0.180565,1.711664,0.404955,-0.0468,1.627555,480
A000378,0.213985,1.541851,0.449555,1.375585,5.188577,484
A000379,1e-06,13.815511,0.050172,0.081965,1.132516,484
A000380,1e-06,13.815511,0.050172,0.118019,1.042296,484
A000381,0.100682,2.295787,0.301921,0.067986,0.885272,484
A000382,0.205117,1.584174,0.437545,0.477115,3.873018,484
A000383,1e-06,13.815511,0.050172,0.249865,3.606545,480
A000385,0.160937,1.826741,0.379445,0.952168,5.753385,484
A000386,0.154427,1.868037,0.371057,-0.116076,1.664719,483
A000387,0.063711,2.753402,0.251742,0.047823,0.311835,484
A000388,0.341694,1.07384,0.645485,0.139394,3.376657,484
A000389,0.09952,2.307397,0.300402,0.07293,0.8926,484
A000390,0.120256,2.11813,0.327245,-0.013891,0.631437,459
A000391,0.005303,5.23953,0.132292,0.457115,3.314651,484
A000392,0.02484,3.69531,0.187575,0.038962,0.862254,483
A000393,0.185586,1.684239,0.411549,0.114807,0.445421,248
A000394,0.15159,1.886578,0.36741,2.792162,16.994575,484
A000395,0.067296,2.698656,0.256849,0.525957,5.043949,484
A000396,0.005039,5.29058,0.131015,-0.011472,0.09952,484
A000397,0.15343,1.874511,0.369775,0.192834,1.687585,484
A000398,1e-06,13.815511,0.050172,0.007785,0.121719,484
A000399,0.035425,3.340345,0.207508,-0.003479,0.053943,484
A000400,1e-06,13.815511,0.050172,0.613256,3.067993,484
A000401,1e-06,13.815511,0.050172,0.058564,0.858879,484
A000402,1e-06,13.815511,0.050172,0.17379,2.565919,484
A000403,1e-06,13.815511,0.050172,0.994509,4.836864,484
A000404,0.293786,1.224904,0.565879,0.499277,7.060111,484
A000405,0.031984,3.442511,0.201349,0.011696,0.568937,484
A000406,0.185144,1.686619,0.410968,0.236787,2.162005,484
A000407,0.088833,2.420995,0.286307,0.237513,1.944269,474
A000408,0.083721,2.480266,0.279465,0.051011,0.785283,484
A000409,1e-06,13.815511,0.050172,0.505723,2.790362,484
A000410,0.187613,1.673376,0.414221,0.545615,2.502584,396
A000411,0.014889,4.207146,0.164755,2.627681,8.884916,484
A000412,0.179132,1.719634,0.403078,2.727468,11.790075,484
A000413,1e-06,13.815511,0.050172,5.530853,36.293726,483
A000414,0.061162,2.794224,0.248064,0.024293,0.199848,484
A000415,0.130764,2.034362,0.34072,0.02035,0.52614,484
A000416,1e-06,13.815511,0.050172,0.693676,8.418071,484
A000417,0.041425,3.18388,0.217705,0.083242,0.78917,291
A000418,0.055547,2.89053,0.239799,0.054529,0.416591,484
A000419,0.007721,4.863875,0.142509,0.0238,6.406,484
A000420,0.068805,2.676472,0.258978,0.029468,0.297682,484
A000421,0.081762,2.503945,0.276822,0.043885,1.791999,484
A000422,0.129971,2.04044,0.339705,3.973939,17.306509,484
A000424,0.084378,2.472453,0.280348,0.027665,0.290673,484
A000425,0.140254,1.964297,0.352873,0.061233,0.637259,481
A000426,0.118043,2.136706,0.3244,0.027445,0.774449,484
A000427,0.075864,2.578816,0.268785,0.265942,2.929814,484
A000428,0.110044,2.206877,0.314085,0.343335,8.661913,484
A000429,0.213138,1.545815,0.448402,0.212344,1.75698,484
A000430,0.056359,2.876008,0.24101,0.013637,0.116193,484
A000431,0.166148,1.794878,0.386181,0.254584,2.254539,408
A000432,0.068303,2.683797,0.258271,5.570978,69.34901,484
A000433,0.171264,1.764547,0.392819,0.228774,0.896158,484
A000434,0.157991,1.845216,0.375646,2.420617,11.916391,484
A000435,0.065689,2.72283,0.254569,0.071881,1.622658,479
A000436,1e-06,13.815511,0.050172,0.027114,0.401236,484
A000437,0.056315,2.876788,0.240945,37.757918,352.514883,483
A000438,0.283757,1.259637,0.550275,1.14181,8.977025,484
A000439,1e-06,13.815511,0.050172,0.23179,2.360052,484
A000440,0.344239,1.06642,0.649976,0.837678,61.336641,484
A000441,0.111237,2.196094,0.315627,1.997806,17.786783,484
A000442,0.316179,1.151446,0.60198,0.250091,2.202258,484
A000443,0.109816,2.208945,0.313791,0.106842,0.710208,484
A000444,0.40981,0.892061,0.777017,2.263523,7.368753,484
A000445,0.063713,2.753373,0.251745,0.026453,0.31966,484
A000446,0.056814,2.867969,0.241686,6.464522,21.703672,481
A000447,0.231981,1.4611,0.474401,1.799795,5.063555,484
A000448,0.195588,1.631747,0.424788,2.29161,6.637578,484
A000449,0.169891,1.772596,0.391035,0.000917,0.651197,484
A000450,0.284248,1.257908,0.551032,3.398045,13.072842,484
A000451,0.123764,2.08938,0.331748,31.261718,86.152989,484
A000452,0.283335,1.261126,0.549626,1.937127,13.552664,484
A000453,0.0633,2.759876,0.251152,1.184881,8.602391,484
A000454,0.089667,2.411656,0.287415,0.566867,5.617852,484
A000455,0.038634,3.253622,0.213039,2.565803,7.884634,484
A000456,1e-06,13.815511,0.050172,0.369263,2.706401,484
A000457,0.203408,1.592542,0.435246,3.160316,31.664067,484
A000458,0.184722,1.688905,0.410412,2.499556,38.210267,484
A000459,0.103877,2.264548,0.306086,0.287706,3.871922,484
A000460,0.044755,3.106563,0.223124,0.099173,0.543978,484
